# Injection - recovery results# Noise level = beta-sigma observed
input	 output	 rv1	 rv2
2300	3700.0	7.0	14.0
2400	3800.0	7.0	14.0
2500	3900.0	7.0	14.0
2600	4000.0	7.0	14.0
2700	4100.0	7.0	20.0
2800	4200.0	7.0	22.0
2900	4300.0	7.0	22.0
3000	4300.0	7.0	22.0
3100	4300.0	7.0	22.0
3200	4300.0	7.0	22.0
3300	4300.0	7.0	22.0
3400	4300.0	7.0	22.0
3500	4100.0	7.0	20.0
3600	4200.0	7.0	22.0
3700	4300.0	7.0	22.0
3800	4400.0	7.0	20.0
3900	4500.0	7.0	20.0
4000	4600.0	7.0	20.0
4100	4700.0	7.0	20.0
4200	4700.0	7.0	20.0
4300	4700.0	7.0	20.0
4400	4800.0	7.0	20.0
4500	4800.0	7.0	20.0
4600	4800.0	7.0	20.0
4700	4900.0	7.0	20.0
4800	4900.0	7.0	20.0
4900	4900.0	7.25	18.0
5000	5600.0	6.75	10.0
5100	5700.0	6.5	10.0
5200	5800.0	6.5	10.0
5300	5900.0	6.75	10.0
5400	6000.0	6.75	10.0
5500	6100.0	6.75	10.0
